nofast,yesfast,nohappy,yeshappy,nosent,yessent,Class
0.7987,0,0,0,0,0,-1
0.3994,0,0.4365,0,0.3096,0,-1
0.7987,0,0,0,0.3096,0.8625,-1
0.3994,0,0,0,0.3096,0.8625,-1
0.3994,0,0,0,0,0,-1
0.3994,0,0,0,0,0,-1
0.3994,0,0,0,0,0,-1
0.7987,0,0,0,0,0,-1
0.3994,0,0,0,0.3096,0,-1
0.7987,0,0,0,0,0,-1
0,0,0.4365,0,0.3096,0,-1
0.3994,0,0.4365,0,0.3096,0,-1
0,0,0.4365,0,0.3096,0,-1
0,0,0.4365,0,0.3096,0,-1
0,0,0.4365,0,0,0,-1
0,0,0.4365,0,0.3096,0,-1
0,0,0.4365,0,0,0.8625,-1
0.3994,0,0.4365,0,0,0,-1
0,0,0.4365,0,0.3096,0.8625,-1
0.3994,0,0.4365,0,0,0,-1
0,0,0.4365,0,0,0.8625,-1
0,0,1.3095,0,0,0,-1
0,0,0.4365,0,0,0,-1
0,0,0.4365,0,0,0,-1
0,0,0.873,0,0.3096,0,-1
0,0,0.873,0,0,0,-1
0,0,0.873,0,0,0,-1
0,0,0.873,0,0.3096,0,-1
0,0,0.4365,0,0,0,-1
0,0,0.4365,0,0,0.8625,-1
0,0,0.873,0,0,0,-1
0,0,0.4365,0,0,0,-1
0,0,0.873,0,0,0,-1
0,0,0,0,0.3096,0,-1
0,0,0,0,0.6193,0,-1
0,0,0,0,0.9289,0,-1
0,0,0,0,0.3096,0,-1
0,0,0,0,0.3096,0,-1
0.7987,0,0.4365,0,0.3096,0,-1
0,0,0,0,0.3096,0,-1
0,0,0,0,0.3096,0,-1
0,0,0,0,0.3096,0,-1
0,0,0,0,0.6193,0.8625,-1
0,0,0.4365,0,0.6193,0,-1
0,0,0,0,0.3096,0,-1
1.1981,0,0.4365,0,0.3096,0,-1
0,0,0,0,0.6193,0,-1
0,0,0,0,0.3096,0.8625,-1
0,0,0,0,0.3096,0,-1
